"","predictions.test","NO2","BP","SOLR","TMP","WDIR","WSPD","TimeHours","lag.1.BP","lag.1.NO","lag.1.NO2","lag.1.NOX","lag.1.O3","lag.1.PM10","lag.1.PM2.5","lag.1.SOLR","lag.1.TMP","lag.1.WDIR","lag.1.WSPD","lag.2.BP","lag.2.NO","lag.2.NO2","lag.2.NOX","lag.2.O3","lag.2.PM10","lag.2.PM2.5","lag.2.SOLR","lag.2.TMP","lag.2.WDIR","lag.2.WSPD","lag.3.BP","lag.3.NO","lag.3.NO2","lag.3.NOX","lag.3.O3","lag.3.PM10","lag.3.PM2.5","lag.3.SOLR","lag.3.TMP","lag.3.WDIR","lag.3.WSPD"
"77",16.6368066666667,7.7,1009,233,18,234,2.3,"13:00",1010,19,10,39.2,47.9,41.5,12,280,18,212,2,1010,9.7,7.7,22.5,48.4,22.6,10,370,18,234,1.9,1010,21.2,11,43.5,44.9,24,11,391,18,186,1.5
"84",6.20316666666668,1.4,998,653,21,221,3.1,"12:00",998,4.7,4.8,12,57.4,22.8,12,620,21,216,3.2,998,5.9,6.7,15.8,48.9,21.2,11,405,20,225,2.5,998,5,8.6,16.3,44.9,22,10,329,19,246,2.2
"86",4.92152000000001,0.5,999,245,22,211,2.7,"14:00",998,5.6,2.4,11,58.9,17.6,8,744,22,225,3.1,998,1.9,1.4,4.3,58.9,22.2,11,653,21,221,3.1,998,4.7,4.8,12,57.4,22.8,12,620,21,216,3.2
"87",4.45343666666668,1.4,999,232,20,219,3.3,"15:00",999,1.2,0.5,2.4,61.9,19.6,11,245,22,211,2.7,998,5.6,2.4,11,58.9,17.6,8,744,22,225,3.1,998,1.9,1.4,4.3,58.9,22.2,11,653,21,221,3.1
"89",8.51544,16.7,1002,225,18,222,2,"09:00",1002,3.7,9.6,15.3,35.9,23.3,11,210,17,215,2.2,1002,2.8,8.1,12.4,35.9,26.9,13,148,16,206,1.9,1002,4.7,11.5,18.6,28.9,26.5,12,64,15,202,1.7
"92",8.36613000000001,1.9,1001,576,20,226,1.8,"12:00",1001,2.8,4.8,9.1,43.9,23,11,268,19,203,1.7,1001,7.2,9.1,20.1,30.9,19.8,12,309,19,204,1.2,1002,9,16.7,30.6,27.4,27.8,14,225,18,222,2
"97",7.93391,3.8,1000,95,17,209,1.4,"09:00",1000,1.9,3.3,6.2,42.9,34,14,159,18,174,1.5,1000,2.1,5.7,8.9,42.4,31.4,15,89,18,195,1.4,1001,1.9,6.7,9.6,37.4,32.1,14,68,16,201,1
"99",4.77775000000001,1.9,1000,394,19,200,2.3,"11:00",1000,1.9,2.9,5.7,53.4,31.6,15,430,17,216,1.2,1000,1.9,3.8,6.7,45.9,30.6,16,95,17,209,1.4,1000,1.9,3.3,6.2,42.9,34,14,159,18,174,1.5
"104",4.87133666666667,5.3,1000,321,21,203,2.4,"16:00",1000,1.2,4.8,6.7,59.9,29.1,15,661,21,183,2.8,1000,1.6,3.3,5.7,60.9,28.2,14,867,21,205,2.7,1000,2.8,5.7,10,54.4,29.1,15,829,21,213,3.5
"109",4.58943000000001,2.9,1005,355,20,211,3.4,"13:00",1004,1.2,2.9,4.8,59.4,26,16,475,20,203,3.6,1003,2.2,3.8,7.2,55.4,29.9,16,498,19,212,3.9,1003,2.9,6.4,10.8,47.4,25.6,14,362,19,207,4.1
