"","Model","Data.Set","Response","Formula","AIC","RMSE","MSE","MAE","R2","RMSLE"
"32","NO2 Stepwise Variable Selection (Ex Post) Time 16","Testing","NO2","NOX + NO + lag.3.WDIR + lag.2.SOLR + lag.3.RHUM + lag.1.WDIR",-512.643014680875,0.0552882717868074,0.00305679299717188,0.0434413625957439,0.999986580184672,0.00367578540236653
"33","NO2 Stepwise Variable Selection (Ex Post Arima) Time 9","Testing","NO2","NOX + NO + lag.2.WDIR",-502.959613839848,3.96663714638259,15.7342102510622,2.58672126867478,0.915953349219811,0.156943493671524
"34","NO2 Stepwise Variable Selection (Ex Post Arima) Time 10","Testing","NO2","NOX + NO + PM2.5 + lag.1.RHUM + lag.2.O3 + lag.1.SOLR + lag.3.SOLR + lag.2.SOLR + lag.2.PM10",-437.62854417389,3.97080978801887,15.7673303726265,2.5899961526994,0.91577643310858,0.157359200278491
"35","NO2 Stepwise Variable Selection (Ex Post Arima) Time 11","Testing","NO2","NOX + NO + lag.3.NO2",-433.556469599224,3.96139860848458,15.6926789353035,2.5837485779808,0.916175194990035,0.156891482433412
"36","NO2 Stepwise Variable Selection (Ex Post Arima) Time 12","Testing","NO2","NOX + NO + lag.3.O3 + TEMP",-492.063246257227,3.9684502015414,15.748597002114,2.58800031409085,0.915876500225027,0.156618986524841
"37","NO2 Stepwise Variable Selection (Ex Post Arima) Time 13","Testing","NO2","NOX + NO + lag.1.RAIN + lag.1.NO",-509.817495490718,3.96677596216223,15.7353115339881,2.58750820213978,0.915947466551408,0.157158878351841
"38","NO2 Stepwise Variable Selection (Ex Post Arima) Time 14","Testing","NO2","NOX + NO + WSPD + RHUM + lag.2.SOLR",-519.74932917768,3.96228219981861,15.6996802309994,2.58386471268062,0.916137796515948,0.156813975698781
"39","NO2 Stepwise Variable Selection (Ex Post Arima) Time 15","Testing","NO2","O3 + NOX + NO + WSPD + lag.1.BP + lag.2.BP",-480.94835984293,3.96983697760571,15.7596056287657,2.58621546091155,0.915817695989861,0.15712247076577
"40","NO2 Stepwise Variable Selection (Ex Post Arima) Time 16","Testing","NO2","NOX + NO + lag.3.WDIR + lag.2.SOLR + lag.3.RHUM + lag.1.WDIR",-512.643014680875,3.97193749518877,15.7762874656864,2.58968814104381,0.915728587448683,0.157144491626477
"41","NO2 Stepwise Variable Selection (Ex Post) Time 16","Training","NO2","NOX + NO + lag.3.WDIR + lag.2.SOLR + lag.3.RHUM + lag.1.WDIR",-512.643014680875,0.0566278419428201,0.00320671248310101,0.0460479553446854,0.99998739780025,0.00386301708378064
"42","NO2 Stepwise Variable Selection (Ex Post) Time 16","Testing","NO2","NOX + NO + lag.3.WDIR + lag.2.SOLR + lag.3.RHUM + lag.1.WDIR",-512.643014680875,0.0552882717868074,0.00305679299717188,0.0434413625957439,0.999986580184672,0.00367578540236653
