,RESPONSE HOUR,,,,,,,
MODEL,9am,10am,11am,12am,1pm,2pm,3pm,4pm
stepwise.ex.ante.train.MAE,3.683,4.953,5.554,6.031,6.946,6.880,6.629,7.704
stepwise.ex.ante.test.MAE,4.657,5.954,6.101,6.193,7.499,6.607,9.071,10.045
stepwise.ex.post.train.MAE,0.048,0.051,0.052,0.049,0.047,0.045,0.049,0.046
stepwise.ex.post.test.MAE,0.051,0.064,0.045,0.041,0.055,0.059,0.050,0.043
stepwise.ex.post.arima.test.MAE,2.587,2.590,2.584,2.588,2.588,2.584,2.586,2.590
