"","predict","X","Site","Time","BP","NO","NO2","NOX","O3","PM10","PM2.5","SOLR","TMP","WDIR","WSPD","TimeHours","TimeHoursNum","Date","Year","Month","Week","Day","lag.1.BP","lag.1.NO","lag.1.NO2","lag.1.NOX","lag.1.O3","lag.1.PM10","lag.1.PM2.5","lag.1.SOLR","lag.1.TMP","lag.1.WDIR","lag.1.WSPD","lag.2.BP","lag.2.NO","lag.2.NO2","lag.2.NOX","lag.2.O3","lag.2.PM10","lag.2.PM2.5","lag.2.SOLR","lag.2.TMP","lag.2.WDIR","lag.2.WSPD","lag.3.BP","lag.3.NO","lag.3.NO2","lag.3.NOX","lag.3.O3","lag.3.PM10","lag.3.PM2.5","lag.3.SOLR","lag.3.TMP","lag.3.WDIR","lag.3.WSPD"
"15",41.2999035786511,56,"GR4","16/06/2009 16:00",1004,1.9,7.7,10.5,83.8,24.5,14,195,20,215,1.5,"16:00",16,"2009-06-16",2009,6,24,"Tuesday",1005,0.9,8.1,9.6,71.8,23.7,16,238,19,101,1.9,1005,3.7,12,17.7,68.4,24.5,17,139,19,94,1.9,1005,9,15.8,29.6,59.4,19.9,14,126,21,153,0.6
"16",67.9547221326798,64,"GR4","17/06/2009 16:00",1014,1.2,3.8,5.7,87.3,28.6,13,125,20,205,2.1,"16:00",16,"2009-06-17",2009,6,24,"Wednesday",1014,1.2,2.9,4.8,90.3,33.4,14,179,21,180,0.7,1014,1.2,1,2.9,90.8,50.6,16,663,22,212,1.2,1014,4.7,4.8,12,83.8,31,12,527,21,113,0.9
"17",67.6363617603981,66,"GR4","18/06/2009 10:00",1009,1.9,6.7,9.6,54.9,11.9,9,389,20,218,2.2,"10:00",10,"2009-06-18",2009,6,24,"Thursday",1010,5.9,12.9,22,48.4,9.2,10,303,20,182,1.5,1010,4.7,11.5,18.6,45.4,21.6,11,251,19,186,1.3,1011,7.5,19.6,31.1,29.4,24.2,14,143,18,159,0.9
"18",49.7152255580283,68,"GR4","18/06/2009 12:00",1007,11.2,12,29.2,58.4,26.5,14,508,21,185,3,"12:00",12,"2009-06-18",2009,6,24,"Thursday",1008,2.5,8.3,12.1,58.4,22.9,9,346,20,148,2.3,1009,1.9,6.7,9.6,54.9,11.9,9,389,20,218,2.2,1010,5.9,12.9,22,48.4,9.2,10,303,20,182,1.5
"19",68.8255911959947,75,"GR4","19/06/2009 11:00",1010,9.7,7.7,22.5,48.4,22.6,10,370,18,234,1.9,"11:00",11,"2009-06-19",2009,6,24,"Friday",1010,21.2,11,43.5,44.9,24,11,391,18,186,1.5,1010,6.2,8.1,17.7,43.4,20.7,11,331,17,218,1.4,1010,4.6,10.8,17.8,38.4,26.6,14,238,16,262,1.4
"20",45.9033793740129,76,"GR4","19/06/2009 12:00",1010,19,10,39.2,47.9,41.5,12,280,18,212,2,"12:00",12,"2009-06-19",2009,6,24,"Friday",1010,9.7,7.7,22.5,48.4,22.6,10,370,18,234,1.9,1010,21.2,11,43.5,44.9,24,11,391,18,186,1.5,1010,6.2,8.1,17.7,43.4,20.7,11,331,17,218,1.4
"21",57.7028018922225,77,"GR4","19/06/2009 13:00",1009,5,7.7,15.3,48.4,14.9,12,233,18,234,2.3,"13:00",13,"2009-06-19",2009,6,24,"Friday",1010,19,10,39.2,47.9,41.5,12,280,18,212,2,1010,9.7,7.7,22.5,48.4,22.6,10,370,18,234,1.9,1010,21.2,11,43.5,44.9,24,11,391,18,186,1.5
"22",110.609144593805,84,"GR4","13/07/2009 12:00",998,1.9,1.4,4.3,58.9,22.2,11,653,21,221,3.1,"12:00",12,"2009-07-13",2009,7,28,"Monday",998,4.7,4.8,12,57.4,22.8,12,620,21,216,3.2,998,5.9,6.7,15.8,48.9,21.2,11,405,20,225,2.5,998,5,8.6,16.3,44.9,22,10,329,19,246,2.2
"23",104.152112881402,86,"GR4","13/07/2009 14:00",999,1.2,0.5,2.4,61.9,19.6,11,245,22,211,2.7,"14:00",14,"2009-07-13",2009,7,28,"Monday",998,5.6,2.4,11,58.9,17.6,8,744,22,225,3.1,998,1.9,1.4,4.3,58.9,22.2,11,653,21,221,3.1,998,4.7,4.8,12,57.4,22.8,12,620,21,216,3.2
"24",91.5318006130909,87,"GR4","13/07/2009 15:00",999,1.2,1.4,3.3,66.4,13,10,232,20,219,3.3,"15:00",15,"2009-07-13",2009,7,28,"Monday",999,1.2,0.5,2.4,61.9,19.6,11,245,22,211,2.7,998,5.6,2.4,11,58.9,17.6,8,744,22,225,3.1,998,1.9,1.4,4.3,58.9,22.2,11,653,21,221,3.1
