"","Site","Time","BP","NO","NO2","NOX","O3","PM10","SO2","TMP","WDIR"
"344","TH1","29/08/2009 22:00",808,0.4,28.7,29.3,30.9,17.7,1.4,14,315
"345","TH1","29/08/2009 23:00",809,0.4,26.5,27.1,30.4,20.1,1.4,13,323
"346","TH1","30/08/2009 00:00",808,0,23.7,23.7,30.4,17.8,1.4,13,326
"347","TH1","30/08/2009 01:00",810,0,18.7,18.7,30.9,20.4,1.4,13,314
"348","TH1","30/08/2009 02:00",811,0,20.9,20.9,29.5,18.5,1.4,13,305
"349","TH1","30/08/2009 03:00",812,0,19.8,19.8,28.2,18.1,1.4,12,315
"350","TH1","30/08/2009 04:00",811,0,16.5,16.5,30.4,13.7,1.4,12,319
"351","TH1","30/08/2009 05:00",811,0.4,14.8,15.4,32.6,12.5,1.5,12,307
"352","TH1","30/08/2009 06:00",810,0.7,14.8,15.9,35.3,13.2,1.5,12,304
"353","TH1","30/08/2009 07:00",809,2.2,14.7,18.1,38.1,12.8,1.5,13,294
"354","TH1","30/08/2009 08:00",809,2.2,10.8,14.2,45.3,10.7,1.5,14,317
"355","TH1","30/08/2009 09:00",806,1.1,8.1,9.8,51.9,8.7,1.5,16,315
"356","TH1","30/08/2009 10:00",805,2.2,11.9,15.3,50.3,11,1.5,17,295
"357","TH1","30/08/2009 11:00",805,1.5,16.4,18.6,44.2,19.7,1.5,18,317
"358","TH1","30/08/2009 12:00",808,2.6,14.6,18.6,49.7,16.7,1.5,18,310
"359","TH1","30/08/2009 13:00",805,1.9,13.6,16.4,55.2,17.9,1.5,19,304
"360","TH1","30/08/2009 14:00",804,2.2,13,16.4,54.1,18.5,1.5,19,312
"361","TH1","30/08/2009 15:00",806,2.2,14.6,18.1,48.6,18.9,1.5,19,307
"362","TH1","30/08/2009 16:00",805,1.9,18,20.8,46.4,15.6,1.5,19,328
"363","TH1","30/08/2009 17:00",805,1.5,19.1,21.4,43.1,22.2,1.5,19,327
"364","TH1","30/08/2009 18:00",807,1.1,19.7,21.4,41.4,23.5,1.5,18,310
"365","TH1","30/08/2009 19:00",806,0.7,19.7,20.8,40.3,23.4,1.5,17,320
"366","TH1","30/08/2009 20:00",805,1.1,20.7,22.5,35.3,25.6,1.5,17,328
"367","TH1","30/08/2009 21:00",806,1.1,20.2,21.9,33.7,28.3,1.5,16,313
"368","TH1","30/08/2009 22:00",808,1.5,22.9,25.2,27.1,15.4,1.5,15,298
"369","TH1","30/08/2009 23:00",809,1.5,20.2,22.4,25.4,15.8,1.5,14,297
"370","TH1","31/08/2009 00:00",808,0.4,16.9,17.4,28.2,19.1,1.5,13,296
"371","TH1","31/08/2009 01:00",809,0.5,17.1,17.8,27.2,17,1.5,13,297
"372","TH1","31/08/2009 02:00",809,0,12.6,12.6,35.3,12.4,1.6,13,294
"373","TH1","31/08/2009 03:00",812,0,9.1,9.1,32,9.2,1.6,12,303
"374","TH1","31/08/2009 04:00",811,0.4,9.7,10.2,27.6,15.8,1.6,12,300
"375","TH1","31/08/2009 05:00",807,0,13,13,25.4,13,1.6,12,300
"376","TH1","31/08/2009 06:00",811,1.5,12.9,15.2,24.9,11.7,1.6,13,293
"377","TH1","31/08/2009 07:00",810,1.9,13.4,16.3,28.7,9.3,1.6,14,289
"378","TH1","31/08/2009 08:00",809,3,11.7,16.3,30.9,12.3,1.6,16,309
