,Time,CO,NO2,NOX,O3,PM10,SOLR,TMP,WDIR,WSPD
84,25/02/2007 04:00,0.2,1,11,13,67.9,0,5,237,3
85,25/02/2007 05:00,0.2,1,27,29,51.9,0,5,237,3.3
86,25/02/2007 06:00,0.3,3,32,36,49.9,0,5,250,3.5
87,25/02/2007 08:00,0.3,16,36,61.1,39.9,26,5,274,4
88,25/02/2007 09:00,0.3,26,44.1,84.1,39.9,107,7,294,3.3
89,25/02/2007 10:00,0.2,26,31,71.1,45.9,138,8,305,3.5
90,25/02/2007 11:00,0.3,21,29,61.1,45.9,121,9,308,3.8
91,25/02/2007 12:00,0.3,19,32,61.1,45.9,174,10,291,4
92,25/02/2007 13:00,0.3,25,34,73.1,43.9,185,11,300,3.8
93,25/02/2007 14:00,0.5,28,40.1,82.1,35.9,42,9,311,2.8
94,25/02/2007 15:00,0.5,35,50.1,103.1,29.9,78,10,308,2.8
95,25/02/2007 16:00,0.5,36,57.1,113.1,25.9,13,9,308,2.3
96,25/02/2007 17:00,0.5,48,71.1,143.2,16,1,8,291,3
97,25/02/2007 18:00,0.5,55,78.1,162.2,14,0,8,290,3.3
98,25/02/2007 19:00,0.5,56,76.1,162.2,8,0,8,290,4
99,25/02/2007 20:00,0.5,28,57.1,99.1,20,0,8,289,3
100,25/02/2007 21:00,0.5,25,46.1,84.1,27.9,0,9,294,3.3
101,25/02/2007 22:00,0.3,18,36,63.1,39.9,0,9,299,3
102,25/02/2007 23:00,0.3,13,34,53.1,37.9,0,9,287,4
103,26/02/2007 01:00,0.3,1,13,15,47.9,0,7,272,3.8
104,26/02/2007 02:00,0.2,3,17,21,49.9,0,8,280,4
105,26/02/2007 03:00,0.2,3,13,17,53.9,0,8,290,3.5
106,26/02/2007 04:00,0.3,8,27,38,39.9,0,8,278,3.5
107,26/02/2007 05:00,0.3,31,52.1,99.1,22,0,8,283,3.8
108,26/02/2007 06:00,0.5,49,69.1,143.2,12,1,8,285,4
109,26/02/2007 07:00,0.5,55,71.1,155.2,12,27,8,287,4
110,26/02/2007 08:00,0.5,44,53.1,120.2,27.9,77,8,303,3.3
111,26/02/2007 09:00,0.3,26,34,74.1,47.9,176,9,313,4.5
112,26/02/2007 10:00,0.3,20,29,59.1,51.9,231,9,313,5
113,26/02/2007 11:00,0.3,28,36,78.1,47.9,185,9,312,4.3
114,26/02/2007 12:00,0.3,23,25,59.1,57.9,300,10,318,5
115,26/02/2007 13:00,0.5,28,34,76.1,49.9,210,10,313,4
116,26/02/2007 14:00,0.3,26,34,74.1,51.9,126,10,327,4.3
117,26/02/2007 15:00,0.5,25,32,71.1,53.9,170,10,321,4
118,26/02/2007 16:00,0.7,30,46.1,92.1,45.9,74,9,319,3.5
119,26/02/2007 17:00,0.7,45,69.1,138.2,25.9,4,8,314,2.5
120,26/02/2007 18:00,0.9,123.9,109.1,298.39999,2,0,7,292,1.3
121,26/02/2007 19:00,0.9,142.89999,113.1,330.39999,2,0,7,320,1
122,26/02/2007 20:00,0.9,172.89999,120.2,384.5,2,0,6,290,1.5
123,26/02/2007 21:00,1.2,210.89999,124.2,447.60001,2,0,5,292,1.5
124,26/02/2007 22:00,0.8,163.89999,115.2,365.5,2,0,5,248,1
125,26/02/2007 23:00,0.6,89.9,84.1,222.3,2,0,4,272,1
126,27/02/2007 01:00,0.7,63,63.1,159.2,2,0,3,165,1.8
127,27/02/2007 02:00,0.5,41,53.1,117.2,0,0,3,171,1.5
128,27/02/2007 03:00,0.3,20,48.1,78.1,2,0,3,171,2
129,27/02/2007 04:00,0.3,8,42.1,53.1,6,0,3,151,2.3
130,27/02/2007 05:00,0.3,8,38,50.1,10,0,4,139,2.3
131,27/02/2007 06:00,0.2,9,46.1,59.1,12,0,4,138,3
132,27/02/2007 07:00,0.3,9,46.1,59.1,10,4,5,146,3
133,27/02/2007 08:00,0.5,34,69.1,120.2,16,20,8,196,3.5
134,27/02/2007 09:00,0.5,71,101.1,210.3,12,38,10,216,4.5
