"","Site","Time","NO","NO2","NOX","PM10","PM2.5","SOLR","WDIR","WSPD"
"1853","HR1","31/12/2012 11:00",0.6,14.6,15.5,10.7,6,22,99,1.9
"1854","HR1","31/12/2012 12:00",0.9,14.3,15.7,7.8,4,10,97,2
"1855","HR1","31/12/2012 13:00",0.8,16.9,18.1,9.2,4,6,97,2.2
"1856","HR1","31/12/2012 14:00",0.7,15.1,16.2,9.5,0,6,120,0.8
"1857","HR1","31/12/2012 15:00",0.6,14.9,15.8,9.9,2,6,113,0.8
"1858","HR1","31/12/2012 16:00",0.6,11.9,12.7,5.1,1,6,116,0.9
"1859","HR1","31/12/2012 17:00",0.8,27,28.2,4.7,3,6,112,1
"1860","HR1","31/12/2012 18:00",0.7,19.7,20.8,10.7,6,6,112,1
"1861","HR1","31/12/2012 19:00",0.5,20.3,20.9,7.3,5,6,101,0.6
"1862","HR1","31/12/2012 20:00",0.6,21.2,22.1,8.4,-1,6,125,0.6
"1863","HR1","31/12/2012 21:00",0.8,17.8,19,10.7,6,6,126,0.7
"1864","HR1","31/12/2012 22:00",0.7,14.2,15.3,14.9,10,6,146,0.9
"1865","HR1","31/12/2012 23:00",0.5,8.2,8.9,22.6,10,6,146,1
"1866","HR1","01/01/2013 00:00",0.4,8.9,9.5,19.3,17.7,6,141,0.9
"1867","HR1","01/01/2013 01:00",0.4,5.2,5.8,15.7,7.6,6,133,0.9
"1868","HR1","01/01/2013 02:00",0.6,6.2,7,7,5.6,6,144,1.2
"1869","HR1","01/01/2013 03:00",1,7,8.6,4.1,-1.9,6,143,1
"1870","HR1","01/01/2013 04:00",0.2,3.6,4,8.8,5.1,6,143,1
"1871","HR1","01/01/2013 05:00",0.8,10.4,11.6,6.3,-1.3,6,138,1.1
"1872","HR1","01/01/2013 06:00",0.2,8.1,8.4,8,3.3,40,131,0.8
"1873","HR1","01/01/2013 07:00",0.8,13.6,14.8,6.9,2.6,129,130,0.8
"1874","HR1","01/01/2013 08:00",1.7,18.8,21.4,6.5,1.9,197,126,0.9
"1875","HR1","01/01/2013 09:00",2.6,16.2,20.2,7.7,1.6,227,130,1.1
"1876","HR1","01/01/2013 10:00",1.9,10.3,13.2,7.9,4.1,229,136,1.2
"1877","HR1","01/01/2013 11:00",1.6,7.3,9.8,10.7,2.8,162,135,1.4
"1878","HR1","01/01/2013 12:00",0.8,3.4,4.7,8.7,4.4,68,136,1.2
"1879","HR1","01/01/2013 13:00",0.8,2.9,4,9.6,2.8,15,135,1
"1880","HR1","01/01/2013 14:00",0.5,6.5,7.2,8.5,5.6,6,134,0.6
"1881","HR1","01/01/2013 15:00",0.7,11.3,12.5,9.3,9,6,132,0.9
"1882","HR1","01/01/2013 16:00",1.1,24.3,26,10.3,6.7,6,135,1.1
"1883","HR1","01/01/2013 17:00",0.9,24.8,26.2,10.5,3.4,6,134,1
"1884","HR1","01/01/2013 18:00",1,19,20.5,10.8,7.8,6,134,1
"1885","HR1","01/01/2013 19:00",0.7,17,18,14.2,10,6,97,0.6
"1886","HR1","01/01/2013 20:00",0.8,23.8,25.1,12.4,9.1,6,137,1.1
"1887","HR1","01/01/2013 21:00",2.9,48.8,53.3,14.4,8.8,6,126,0.6
"1888","HR1","01/01/2013 22:00",1.4,27.3,29.4,14.3,8.4,6,120,0.5
"1889","HR1","01/01/2013 23:00",0.9,33.5,34.9,14.8,5.9,6,119,0.5
"1890","HR1","02/01/2013 00:00",1.5,32.2,34.5,14.8,4.1,6,134,0.7
"1891","HR1","02/01/2013 01:00",1.8,34.6,37.4,10.6,8.7,6,84,0.5
"1892","HR1","02/01/2013 02:00",2.1,35.6,38.8,11.1,4.7,6,137,0.7
"1893","HR1","02/01/2013 03:00",2.4,35.5,39.2,10.4,8.5,6,116,0.5
"1894","HR1","02/01/2013 04:00",2.2,31.3,34.7,9.7,4.6,6,116,0.5
"1895","HR1","02/01/2013 05:00",2.3,30,33.5,8.4,6.6,6,127,0.7
"1896","HR1","02/01/2013 06:00",18.1,48.4,76.2,12.3,8.3,17,115,0.5
"1897","HR1","02/01/2013 07:00",14.9,51.7,74.6,11.1,3.7,44,121,0.6
"1898","HR1","02/01/2013 08:00",15.8,51.5,75.7,11.3,9.8,57,112,0.7
"1899","HR1","02/01/2013 09:00",23.7,50.3,86.7,16.3,10.8,61,103,0.8
"1900","HR1","02/01/2013 10:00",21.4,49.9,82.7,15.3,8.9,32,121,0.7
"1901","HR1","02/01/2013 11:00",7,40.9,51.6,20.8,5.4,19,115,0.9
"1902","HR1","02/01/2013 12:00",5,39.5,47.1,20.7,9.8,23,110,1.1
"1903","HR1","02/01/2013 13:00",5.5,53.5,62,19.4,10.2,6,103,0.8
"1904","HR1","02/01/2013 14:00",2.6,46.2,50.1,16.7,11.2,5,110,0.9
"1905","HR1","02/01/2013 15:00",7.6,65.5,77.1,15.8,10.5,5,112,0.9
"1906","HR1","02/01/2013 16:00",2.1,45.2,48.5,18.7,8.2,6,114,0.7
"1907","HR1","02/01/2013 17:00",1.5,29.5,31.8,12.6,10.7,6,113,0.9
"1908","HR1","02/01/2013 18:00",1.4,29.8,31.9,13,11.7,6,113,0.9
"1909","HR1","02/01/2013 19:00",0.8,29.3,30.5,11.3,13.6,6,115,0.6
"1910","HR1","02/01/2013 20:00",0.8,24.9,26.1,11.4,11.4,6,122,0.7
"1911","HR1","02/01/2013 21:00",1.3,23.6,25.5,11.4,12,6,124,0.8
"1912","HR1","02/01/2013 22:00",0.5,16.4,17.2,9.8,5.8,6,139,1.2
"1913","HR1","02/01/2013 23:00",0.7,17.5,18.5,12.7,11.2,6,119,0.6
"1914","HR1","03/01/2013 00:00",1,20.5,22,14,10.9,6,116,0.7
"1915","HR1","03/01/2013 01:00",0.6,21.1,22,16.5,11.9,6,123,0.8
"1916","HR1","03/01/2013 02:00",0.6,10.9,11.8,16.3,7.9,6,111,0.7
"1917","HR1","03/01/2013 03:00",0.9,11,12.4,12.9,9.4,6,116,0.7
"1918","HR1","03/01/2013 04:00",1.3,12.2,14.3,15.3,9.1,6,116,0.7
"1919","HR1","03/01/2013 05:00",0.7,10.4,11.6,15.3,10.7,6,130,1
"1920","HR1","03/01/2013 06:00",0.6,14.9,15.9,15.3,8.7,28,125,1
"1921","HR1","03/01/2013 07:00",1.4,15.7,17.8,18.9,10.1,71,127,1
"1922","HR1","03/01/2013 08:00",1.4,22.4,24.5,19.6,12.3,105,128,1.1
"1923","HR1","03/01/2013 09:00",3.1,22.4,27.2,17.7,10.7,116,131,1
"1924","HR1","03/01/2013 10:00",2.3,15.9,19.5,16.2,9.3,107,129,1
"1925","HR1","03/01/2013 11:00",1.9,15.5,18.4,12.9,6.6,95,128,1
"1926","HR1","03/01/2013 12:00",1.7,13.7,16.3,17.4,3.4,50,126,1.3
"1927","HR1","03/01/2013 13:00",1.9,12.6,15.5,14,7.5,13,127,1
"1928","HR1","03/01/2013 14:00",1.2,11.7,13.6,15.6,2.2,6,115,0.9
"1929","HR1","03/01/2013 15:00",0.6,16.5,17.4,18.1,5.6,6,134,0.9
"1930","HR1","03/01/2013 16:00",1.3,29.6,31.6,17.2,10.5,6,115,0.9
"1931","HR1","03/01/2013 17:00",0.9,22.8,24.2,12.9,8.7,6,120,0.7
"1932","HR1","03/01/2013 18:00",0.8,18.4,19.6,16.9,6.8,6,120,0.7
"1933","HR1","03/01/2013 19:00",1,15.3,16.9,15.3,7.9,6,131,1
"1934","HR1","03/01/2013 20:00",0.6,10.9,11.8,6.6,6.5,6,131,1
"1935","HR1","03/01/2013 21:00",0.7,10.6,11.7,9.7,12.5,6,126,0.9
"1936","HR1","03/01/2013 22:00",0.7,11.6,12.6,17.4,6.8,6,126,1.1
"1937","HR1","03/01/2013 23:00",0.4,16.1,16.7,8.3,6.7,6,133,1.1
"1938","HR1","04/01/2013 00:00",0.6,10.8,11.8,7.2,7.7,6,117,0.9
"1939","HR1","04/01/2013 01:00",0.4,7.2,7.7,9,4.7,6,133,1
"1940","HR1","04/01/2013 02:00",0.5,8.4,9.1,12.8,6.9,6,129,1
"1941","HR1","04/01/2013 03:00",0.8,5.5,6.7,11.3,1.5,6,129,0.8
"1942","HR1","04/01/2013 04:00",0.7,7.4,8.5,13.5,9.8,6,129,0.8
"1943","HR1","04/01/2013 05:00",0.5,7.1,7.9,14.1,6.7,6,137,1.2
"1944","HR1","04/01/2013 06:00",0.5,8.2,9,13.2,8.5,23,136,1
"1945","HR1","04/01/2013 07:00",0.5,12.5,13.3,15,3.7,54,141,1
"1946","HR1","04/01/2013 08:00",0.7,12.6,13.8,12.8,5.1,99,118,0.7
"1947","HR1","04/01/2013 09:00",1.3,12.3,14.3,13.3,5.3,210,135,1.5
"1948","HR1","04/01/2013 10:00",2.8,22,26.2,16.2,8.2,120,138,1.2
"1949","HR1","04/01/2013 11:00",2.6,13.3,17.2,16.1,4.6,88,142,1.2
"1950","HR1","04/01/2013 12:00",1.6,12,14.5,15,2.7,35,141,1
"1951","HR1","04/01/2013 13:00",1.2,11.1,12.8,10.3,2,11,137,1
"1952","HR1","04/01/2013 14:00",1.1,12,13.7,8,10,6,134,0.8
"1953","HR1","04/01/2013 15:00",1.1,18.1,19.8,8.2,7.9,6,133,0.7
"1954","HR1","04/01/2013 16:00",1.1,21,22.7,17.3,9,6,129,0.9
"1955","HR1","04/01/2013 17:00",0.5,20,20.8,12.8,13,6,124,0.7
"1956","HR1","04/01/2013 18:00",1,36.2,37.7,17.1,11.5,6,124,0.7
"1957","HR1","04/01/2013 19:00",1.7,39.1,41.7,17.9,13.2,6,130,0.9
"1958","HR1","04/01/2013 20:00",1.3,17.8,19.9,17.6,10.8,6,128,0.7
"1959","HR1","04/01/2013 21:00",0.7,14.3,15.4,14.9,14.3,6,133,0.8
"1960","HR1","04/01/2013 22:00",0.6,13,13.9,24,17.4,6,133,0.7
"1961","HR1","04/01/2013 23:00",0.9,15.9,17.2,24,14.9,6,130,1
"1962","HR1","05/01/2013 00:00",0.6,15.1,16,20.6,14.7,6,133,0.7
"1963","HR1","05/01/2013 01:00",1,12,13.5,17.1,13.2,6,127,0.7
"1964","HR1","05/01/2013 02:00",0.6,3.1,4.1,14.3,10.9,6,131,0.6
"1965","HR1","05/01/2013 03:00",0.6,5.6,6.4,14.2,8.7,6,114,0.5
"1966","HR1","05/01/2013 04:00",0.7,3.6,4.7,12.5,9.5,6,114,0.5
"1967","HR1","05/01/2013 05:00",0.9,9.5,10.9,12.7,10.3,6,93,0.6
"1968","HR1","05/01/2013 06:00",1.1,14.7,16.5,7.1,12.8,16,110,0.5
"1969","HR1","05/01/2013 07:00",2.4,30.5,34.2,15.3,10.1,19,112,0.5
"1970","HR1","05/01/2013 08:00",3.4,42.1,47.4,10.4,10.4,61,113,0.6
"1971","HR1","05/01/2013 09:00",9.2,50,64.1,20.5,12.2,55,126,0.8
"1972","HR1","05/01/2013 10:00",9.5,44.5,59.1,10.4,5.9,82,128,1
"1973","HR1","05/01/2013 11:00",2.4,22,25.7,18.1,9.3,54,128,1.1
"1974","HR1","05/01/2013 12:00",1.5,11,13.3,13.4,6,37,131,1.1
"1975","HR1","05/01/2013 13:00",1.2,11,12.9,13.3,3.3,10,127,0.9
"1976","HR1","05/01/2013 14:00",0.9,8.3,9.7,9.5,5.1,6,130,1.1
"1977","HR1","05/01/2013 15:00",0.7,14.4,15.4,10.1,4.9,6,134,1
"1978","HR1","05/01/2013 16:00",0.8,14.7,15.9,11.7,6.9,6,124,0.7
"1979","HR1","05/01/2013 17:00",0.4,11.1,11.8,8.6,8.4,6,111,0.6
"1980","HR1","05/01/2013 18:00",0.9,17,18.4,7.5,5.3,6,111,0.6
"1981","HR1","05/01/2013 19:00",2,34,37.1,15.1,10.2,6,89,0.4
"1982","HR1","05/01/2013 20:00",1.9,33.9,36.8,12.4,12.1,6,129,0.5
"1983","HR1","05/01/2013 21:00",25.2,50,88.6,16.2,14.4,6,126,0.5
"1984","HR1","05/01/2013 22:00",16.3,55,79.9,21.8,18.4,6,102,0.4
"1985","HR1","05/01/2013 23:00",14,53.4,74.8,20.9,20.4,6,105,0.6
"1986","HR1","06/01/2013 00:00",6.4,47.9,57.7,15.8,10.9,6,123,0.7
"1987","HR1","06/01/2013 01:00",4.3,40.3,47,15,19.5,6,135,0.7
"1988","HR1","06/01/2013 02:00",2.9,30.9,35.4,18.9,13.7,6,135,0.9
"1989","HR1","06/01/2013 03:00",0.7,12.6,13.6,13.2,16.9,6,142,0.9
"1990","HR1","06/01/2013 04:00",1,8.5,10,16.5,9.9,6,142,0.9
"1991","HR1","06/01/2013 05:00",1,10.6,12.2,14.9,15.1,6,105,0.5
"1992","HR1","06/01/2013 06:00",1.2,17.8,19.7,13.7,10.6,23,103,0.5
"1993","HR1","06/01/2013 07:00",1.9,27.2,30.2,15.9,13,34,105,0.5
"1994","HR1","06/01/2013 08:00",4.1,37.9,44.1,17.1,11.2,55,93,0.6
"1995","HR1","06/01/2013 09:00",7,35.8,46.5,16.9,13.2,46,109,0.7
"1996","HR1","06/01/2013 10:00",16.8,46.8,72.5,19.2,15.8,43,109,0.7
"1997","HR1","06/01/2013 11:00",5.7,39.5,48.2,15.1,11.9,45,104,0.8
"1998","HR1","06/01/2013 12:00",12,47.9,66.2,16.9,13.2,21,113,0.8
"1999","HR1","06/01/2013 13:00",6.2,38.7,48.2,11.4,14.5,13,109,0.8
"2000","HR1","06/01/2013 14:00",1.7,21.4,24,11.3,8.9,6,98,0.7
"2001","HR1","06/01/2013 15:00",1.9,36.1,39,21.2,9.2,6,90,0.9
"2002","HR1","06/01/2013 16:00",5.6,53.2,61.7,21.7,19.7,6,95,0.6
"2003","HR1","06/01/2013 17:00",6.1,55.2,64.5,21.7,20.2,6,106,0.7
"2004","HR1","06/01/2013 18:00",9.1,54.4,68.4,23,20.9,6,106,0.7
"2005","HR1","06/01/2013 19:00",20.8,59.5,91.3,23.8,18.9,6,110,0.9
"2006","HR1","06/01/2013 20:00",13.2,53.9,74.1,28.2,23.2,6,120,0.7
"2007","HR1","06/01/2013 21:00",1.4,26.8,29,21.1,17.1,6,105,0.9
"2008","HR1","06/01/2013 22:00",0.9,20.1,21.5,14.5,13.6,6,112,0.8
"2009","HR1","06/01/2013 23:00",0.7,20.3,21.3,14.2,12,6,114,0.8
"2010","HR1","07/01/2013 00:00",1,14.7,16.3,12.7,8,6,129,0.7
"2011","HR1","07/01/2013 01:00",0.6,6.3,7.2,10,7.4,6,117,0.7
"2012","HR1","07/01/2013 02:00",0.4,6.3,7,13.1,11.9,6,127,0.5
"2013","HR1","07/01/2013 03:00",0.4,8.7,9.3,10,8.1,6,100,0.6
"2014","HR1","07/01/2013 04:00",1.2,10.2,12.1,4.5,7.7,6,100,0.6
"2015","HR1","07/01/2013 05:00",1,17,18.5,14.4,3.7,6,99,0.8
"2016","HR1","07/01/2013 06:00",2.3,26.2,29.7,12.5,6.2,10,96,0.7
"2017","HR1","07/01/2013 07:00",7.3,38.5,49.6,16.3,9.9,17,96,0.9
"2018","HR1","07/01/2013 08:00",18.9,43.2,72.3,15.2,11.7,61,96,1
"2019","HR1","07/01/2013 09:00",14.7,38.6,61.1,14.1,11.8,111,97,1.2
"2020","HR1","07/01/2013 10:00",10.5,35.2,51.3,12.7,9.3,37,95,1.1
"2021","HR1","07/01/2013 11:00",8.8,30,43.5,15.2,14.2,46,108,1
"2022","HR1","07/01/2013 12:00",8,33.1,45.4,15.9,11.8,21,101,1
"2023","HR1","07/01/2013 13:00",4.7,28.2,35.3,14.8,9.9,11,98,1.1
"2024","HR1","07/01/2013 14:00",3,26.9,31.5,15.6,13.2,6,100,1
"2025","HR1","07/01/2013 15:00",4,33.9,40.1,18.1,14.2,6,103,1.1
"2026","HR1","07/01/2013 16:00",3.5,37.9,43.2,17.6,13.1,6,99,1
"2027","HR1","07/01/2013 17:00",4.1,35.5,41.8,17.5,12.5,6,98,1
"2028","HR1","07/01/2013 18:00",5.6,38,46.6,19.5,13.3,6,98,1
"2029","HR1","07/01/2013 19:00",2.9,35,39.4,22.9,12.6,6,99,0.9
"2030","HR1","07/01/2013 20:00",2.4,35.1,38.7,21.8,14.1,6,107,0.8
"2031","HR1","07/01/2013 21:00",1.8,38.2,40.9,22.5,15,6,108,0.8
"2032","HR1","07/01/2013 22:00",1.9,41.3,44.2,22.5,18.6,6,107,0.8
"2033","HR1","07/01/2013 23:00",1.8,41.9,44.6,20.6,15,6,105,0.8
"2034","HR1","08/01/2013 00:00",1.1,29.6,31.3,19.9,15.1,6,110,0.8
"2035","HR1","08/01/2013 01:00",0.9,23.8,25.3,17.8,12.6,6,111,0.5
"2036","HR1","08/01/2013 02:00",0.5,17.3,18.1,15.4,8.4,6,100,0.6
"2037","HR1","08/01/2013 03:00",1,17,18.5,14,7.4,6,98,0.6
"2038","HR1","08/01/2013 04:00",1.2,17.7,19.6,14.1,7.1,6,98,0.6
"2039","HR1","08/01/2013 05:00",0.8,16,17.2,14.9,4.4,6,98,0.6
"2040","HR1","08/01/2013 06:00",1.4,35.7,37.8,14.1,7.6,16,102,0.7
"2041","HR1","08/01/2013 07:00",8.6,58.9,72.1,17.8,8.2,35,106,0.9
"2042","HR1","08/01/2013 08:00",21.3,62.9,95.6,21.5,12.6,67,113,1.1
"2043","HR1","08/01/2013 09:00",5.7,42.4,51.1,18.2,8.9,142,112,1.2
"2044","HR1","08/01/2013 10:00",2.5,25.1,29,18,16.4,91,114,1.2
"2045","HR1","08/01/2013 11:00",3.1,19.3,24,18.1,8.5,65,119,1.1
"2046","HR1","08/01/2013 12:00",4.2,25.5,31.9,21.8,9.1,46,114,1.1
"2047","HR1","08/01/2013 13:00",2,18.9,22,18.1,9.7,23,109,0.9
"2048","HR1","08/01/2013 14:00",1.6,19,21.5,20,7.2,6,105,1
"2049","HR1","08/01/2013 15:00",2.5,35.3,39.1,20.4,12.1,6,104,0.8
"2050","HR1","08/01/2013 16:00",4.3,53.7,60.3,26.9,16.4,6,107,1
"2051","HR1","08/01/2013 17:00",6.9,60.6,71.2,26,13.5,6,107,0.9
"2052","HR1","08/01/2013 18:00",3.7,52.2,57.9,28.5,17.9,6,107,0.9
"2053","HR1","08/01/2013 19:00",2.1,44.8,48,25.8,14.9,6,105,0.9
"2054","HR1","08/01/2013 20:00",1.7,35.5,38.2,23.4,15.5,6,99,1.1
"2055","HR1","08/01/2013 21:00",1.3,35.4,37.4,19.5,15.8,6,101,0.9
"2056","HR1","08/01/2013 22:00",1.8,29.9,32.7,13.3,11.2,6,101,0.8
"2057","HR1","08/01/2013 23:00",0.5,20.4,21.3,12.1,11.4,6,106,0.7
"2058","HR1","09/01/2013 00:00",0.5,16.8,17.6,10.5,9.3,6,115,0.6
"2059","HR1","09/01/2013 01:00",0.9,16.5,17.9,9.4,7.5,6,120,0.4
"2060","HR1","09/01/2013 02:00",1.2,21.1,23,9.5,6.6,6,20,1.2
"2061","HR1","09/01/2013 03:00",2.2,26.6,30,8.7,7.7,6,21,1.1
"2062","HR1","09/01/2013 04:00",0.8,14.2,15.5,6.7,3.5,6,21,1.1
"2063","HR1","09/01/2013 05:00",0.8,16,17.1,10.9,3.4,6,30,1
"2064","HR1","09/01/2013 06:00",1.7,16.5,19.1,11.7,9.1,7,113,1
"2065","HR1","09/01/2013 07:00",2.3,24,27.4,15.9,14.1,50,19,1.3
"2066","HR1","09/01/2013 08:00",3.4,28.5,33.8,15.7,9.9,106,26,1.2
"2067","HR1","09/01/2013 09:00",5.6,30.7,39.3,20.5,12.8,251,26,1.1
"2068","HR1","09/01/2013 10:00",4.7,23.5,30.7,19.3,10.4,249,22,1.3
"2069","HR1","09/01/2013 11:00",6.2,19,28.4,22.4,10.7,209,28,1
"2070","HR1","09/01/2013 12:00",3,10.3,14.8,20.5,6.8,51,30,0.9
"2071","HR1","09/01/2013 13:00",3.3,13.7,18.7,21,5.3,24,97,0.5
"2072","HR1","09/01/2013 14:00",2.1,20.1,23.3,20.2,12.2,6,25,0.4
"2073","HR1","09/01/2013 15:00",5.7,50.9,59.7,21,9.8,6,173,0.4
"2074","HR1","09/01/2013 16:00",19.8,78.5,109,25.6,11.4,6,134,0.4
"2075","HR1","09/01/2013 17:00",58.8,80.8,170.89999,26.1,12,6,143,0.4
"2076","HR1","09/01/2013 18:00",84.4,92.2,221.7,29.1,12.7,6,143,0.4
"2077","HR1","09/01/2013 19:00",123,92.6,281.10001,26.8,17.6,6,167,0.4
"2078","HR1","09/01/2013 20:00",47.2,58.1,130.39999,20.5,12.9,6,59,0.3
"2079","HR1","09/01/2013 21:00",34.5,60.3,113.2,22.9,10.2,6,134,0.3
"2080","HR1","09/01/2013 22:00",41.6,64.8,128.60001,22,13.7,6,121,0.3
"2081","HR1","09/01/2013 23:00",45.5,66,135.7,23.8,12.6,6,107,0.4
"2082","HR1","10/01/2013 00:00",59.9,63,154.8,22,14.6,6,45,0.4
"2083","HR1","10/01/2013 01:00",70.5,67,175,24.1,17.6,6,102,0.4
"2084","HR1","10/01/2013 02:00",68.5,59.9,165,25.2,23,6,35,0.4
"2085","HR1","10/01/2013 03:00",59.9,55.9,147.8,21.4,20.5,6,27,0.6
"2086","HR1","10/01/2013 04:00",32.1,53.9,103,13.1,10,6,27,0.6
"2087","HR1","10/01/2013 05:00",23.7,45.6,81.9,15,9.8,6,92,0.5
"2088","HR1","10/01/2013 06:00",52.7,57.5,138.2,21.4,15.8,16,49,0.6
"2089","HR1","10/01/2013 07:00",30.7,53,100,19.4,12.6,39,132,0.5
"2090","HR1","10/01/2013 08:00",25.7,55,94.4,21.8,14.9,48,130,0.5
"2091","HR1","10/01/2013 09:00",21.7,50.9,84.2,20.6,14.7,52,134,0.8
"2092","HR1","10/01/2013 10:00",21.7,52.1,85.4,24.2,14.8,52,66,0.7
"2093","HR1","10/01/2013 11:00",20.1,51,81.7,27.4,20.8,43,144,0.7
"2094","HR1","10/01/2013 12:00",28.2,48.9,92.2,29.5,20.1,59,42,0.7
"2095","HR1","10/01/2013 13:00",14,46.5,67.9,27.8,16.4,18,130,0.6
"2096","HR1","10/01/2013 14:00",10.4,42.9,58.8,27.9,18.5,6,69,0.6
"2097","HR1","10/01/2013 15:00",13,50,70,27.9,20,6,145,0.6
"2098","HR1","10/01/2013 16:00",16.8,60.4,86.2,28.4,20.2,6,144,0.8
"2099","HR1","10/01/2013 17:00",17.3,57.7,84.1,27.8,23.1,6,139,0.6
"2100","HR1","10/01/2013 18:00",6.6,47.5,57.6,25,20.9,6,139,0.6
"2101","HR1","10/01/2013 19:00",4.1,48.6,54.9,25.9,25.3,6,152,0.6
"2102","HR1","10/01/2013 20:00",4,47.4,53.6,26.1,24.5,6,136,0.6
"2103","HR1","10/01/2013 21:00",2.3,38.7,42.2,25.7,23,6,110,0.5
"2104","HR1","10/01/2013 22:00",2,35.2,38.2,25.7,25.6,6,104,0.5
"2105","HR1","10/01/2013 23:00",1.7,34.1,36.7,26.9,24.6,6,139,0.7
"2106","HR1","11/01/2013 00:00",1.7,39.7,42.4,22.6,24.2,6,139,0.8
"2107","HR1","11/01/2013 01:00",2,49.5,52.6,24.5,23.7,6,87,0.5
"2108","HR1","11/01/2013 02:00",3.2,53,57.9,30.1,24,6,110,0.6
"2109","HR1","11/01/2013 03:00",4.6,51.6,58.6,25.7,20.2,6,143,0.7
"2110","HR1","11/01/2013 04:00",12,52.9,71.3,26.8,24.3,6,143,0.7
"2111","HR1","11/01/2013 05:00",6.7,50.9,61.1,25.8,22.5,6,133,0.7
"2112","HR1","11/01/2013 06:00",24.8,54.5,92.5,27.4,26.6,22,71,0.4
"2113","HR1","11/01/2013 07:00",24.3,59.7,97,27.2,22.6,51,111,0.4
"2114","HR1","11/01/2013 08:00",50.5,68.7,146.2,29.5,21.7,83,18,0.9
"2115","HR1","11/01/2013 09:00",44.5,59.8,128.10001,32,24.9,247,42,0.6
"2116","HR1","11/01/2013 10:00",60.1,54.8,147,34.4,31.7,155,51,0.7
"2117","HR1","11/01/2013 11:00",45.8,51.5,121.8,34.4,33,132,36,0.6
"2118","HR1","11/01/2013 12:00",47.5,59,131.8,36.3,31.4,89,45,0.6
"2119","HR1","11/01/2013 13:00",53.6,62.2,144.3,35.7,31,24,31,0.9
"2120","HR1","11/01/2013 14:00",57.6,65.8,154.2,36.3,31.4,6,41,0.9
"2121","HR1","11/01/2013 15:00",60.1,69.3,161.39999,40.6,30.9,6,39,0.7
"2122","HR1","11/01/2013 16:00",61.4,75.3,169.39999,34,31.8,6,39,0.6
"2123","HR1","11/01/2013 17:00",81.9,83.8,209.39999,41,33.2,6,30,0.7
"2124","HR1","11/01/2013 18:00",90,86.8,224.89999,37.7,32,6,30,0.7
"2125","HR1","11/01/2013 19:00",134.60001,90.2,296.60001,36.2,32.2,6,54,0.5
"2126","HR1","11/01/2013 20:00",133.39999,87.2,291.70001,41.5,36.3,6,38,0.7
"2127","HR1","11/01/2013 21:00",141.5,98.3,315.29999,42.4,35.1,6,39,0.7
"2128","HR1","11/01/2013 22:00",142.7,93.7,312.5,42.5,41.9,6,34,0.7
"2129","HR1","11/01/2013 23:00",86,78.3,210.2,33.5,38.2,6,35,0.8
"2130","HR1","12/01/2013 00:00",67,73.3,176,31.2,34.7,6,38,0.8
"2131","HR1","12/01/2013 01:00",54.4,65.9,149.3,30,30.6,6,35,1.1
"2132","HR1","12/01/2013 02:00",47.3,61,133.39999,32.4,30,6,44,1
"2133","HR1","12/01/2013 03:00",25.1,55.1,93.7,29.3,27.5,6,48,0.9
"2134","HR1","12/01/2013 04:00",9.3,51.4,65.7,24.6,24.2,6,48,0.9
"2135","HR1","12/01/2013 05:00",9.4,50.9,65.4,23.7,21.7,6,46,1.1
"2136","HR1","12/01/2013 06:00",9.7,48.2,63,25.4,21.8,16,38,1.4
"2137","HR1","12/01/2013 07:00",6.2,48.9,58.5,19.5,18.2,39,44,1.4
"2138","HR1","12/01/2013 08:00",7.8,51.8,63.7,14.5,14.5,81,45,1.4
"2139","HR1","12/01/2013 09:00",6.8,46.6,57.1,14.7,8.7,84,48,1.8
"2140","HR1","12/01/2013 10:00",7.4,41.6,53,13.5,8.5,145,48,1.8
"2141","HR1","12/01/2013 11:00",5.7,36,44.8,17.2,12.7,60,42,2
"2142","HR1","12/01/2013 12:00",5.4,29.7,38.1,18.2,12,48,44,2.1
"2143","HR1","12/01/2013 13:00",5.4,33.6,41.8,23,18,23,39,1.6
"2144","HR1","12/01/2013 14:00",5.6,33.2,41.7,21,18.1,6,37,1.8
"2145","HR1","12/01/2013 15:00",3.9,38.9,44.9,21.7,20.1,6,32,1.6
"2146","HR1","12/01/2013 16:00",2.1,29.2,32.4,21.1,11.3,6,34,1.5
"2147","HR1","12/01/2013 17:00",2.7,35.4,39.5,24.8,17.6,6,34,1.3
"2148","HR1","12/01/2013 18:00",2.6,35.6,39.5,23.6,16.4,6,34,1.3
"2149","HR1","12/01/2013 19:00",3.6,37.4,42.9,22.8,15.9,6,32,1.9
"2150","HR1","12/01/2013 20:00",2.2,28.5,31.9,24.3,20.5,6,26,1.8
"2151","HR1","12/01/2013 21:00",1.3,26.4,28.4,22.5,19,6,25,1.9
"2152","HR1","12/01/2013 22:00",0.9,23.1,24.5,24,15.5,6,25,2.1
"2153","HR1","12/01/2013 23:00",1.3,22,24,26.8,20.2,6,23,2.2
"2154","HR1","13/01/2013 00:00",0.7,23.4,24.4,25.3,20.5,6,24,2.1
"2155","HR1","13/01/2013 01:00",1.1,24.2,25.9,24.8,17.5,6,22,1.8
"2156","HR1","13/01/2013 02:00",1.2,27.6,29.4,26.6,19.1,6,24,1.9
"2157","HR1","13/01/2013 03:00",1,21.7,23.3,26.8,18.7,6,23,1.9
"2158","HR1","13/01/2013 04:00",0.8,18.9,20.2,27.3,22.2,6,23,1.9
